Archivo,Lengua,Palabras,Dur,Lineas,Comentario,Transcriptorx,Tanda,Fuente,Codigo
BUCCA_A_02A-chorote,chorote,72.0,9.0,243.0,sin nºpag. no todas son glotales,NH,2019-06,DILA repo,B1969
cinta01_A,chorote,130.0,31.0,2396.0,fuentes PP y D1999,GG,2019-06,DILA inv,PP2005
cinta01_B_1,chorote,29.0,5.0,582.0,fuentes PP y D1999,GG,2019-06,DILA inv,PP2005
CRT001R007I001,chorote,98.0,38.0,2133.0,,SM,2020-02,AILLA,G1968
CRT001R007I002,chorote,101.0,20.0,1777.0,,SM,2019-06,AILLA,G1968
CRT001R031I001,chorote,109.0,20.0,1093.0,,SM,2020-02,AILLA,G1968
CRT001R032I001,chorote,323.0,53.0,2108.0,,SM,2020-06,AILLA,G1968
cinta03_B,chorote,19.0,31.0,2932.0,fuentes PP y D1999,GG,2019-10,DILA inv,PP2005
cinta06_B_2,chorote,16.0,5.0,422.0,fuentes PP y D1999,GG,2019-10,DILA inv,PP2005
cinta07_A,chorote,76.0,31.0,2988.0,fuentes PP y D1999,GG,2019-10,DILA inv,PP2005
cinta07_B_1,chorote,58.0,26.0,2534.0,fuentes PP y D1999,GG,2019-10,DILA inv,PP2005
BUCCA_A_02A-nivacle,nivaclé,29.0,4.0,149.0,sin nºpag. no todas son glotales,NH,2019-06,DILA repo,B1969
BUCCA_A_02A-wichi,wichí,32.0,3.0,86.0,sin nºpag. no todas son glotales,NH,2019-06,DILA repo,B1969
MCA001R015I001,maká,51.0,27.0,1271.0,,MD,2020-01,AILLA,G1985
MCA001R016I001,maká,37.0,34.0,1044.0,,MD,2019-10,AILLA,G1985
MCA001R016I002,maká,27.0,32.0,905.0,,MD,2019-10,AILLA,G1985
MCA001R024I001,maká,394.0,35.0,400.0,transcr en Word,MD,2020-01,AILLA,G1985
MCA001R024I002,maká,85.0,34.0,2024.0,,MD,2019-06,AILLA,G1985
MCA001R036I001,maká,33.0,36.0,1112.0,,MD,2020-01,AILLA,G1985
MCA001R036I002,maká,22.0,30.0,822.0,,MD,2020-01,AILLA,G1985
