espanol,wichi,fuente_wichi,chorote,fuente_chorote,nivacle,fuente_nivacle,maka,fuente_maka
abuela,-tela,Ne2014:352,"intix,intʼij,-kiɁjla",PP2005,-kteɁ,Gu2015:59,"ewketiɁ, ketiɁ",G1999:440
abuela,,,eji,G1983:181,jaja,,,
abuela,,,-ntʼeh,C2014b:140,,,,
abuelo,-tʃoti,Ne2014:194,-kiɁjɁil,PP2005,-kteɁtʃ,Gu2015:59,"ewket, ket",G1999:440
abuelo,,,-nt’ek,G1979:55; C2014b:34,,,,
agua,Ɂinot,Ne2014:150,"anat, ihnjat",N1984:44,ɁinɑɁt,Gu2015:38,iweli,G1999:407
agua,,,iʼnjat,C2014b:194,,,,
agua,,,anat,G1983:181,,,,
algarrobo blanco,hwaajuk(w),N1984:39,hwaajuk,N1984:39,faajuk,N1984:39,ininqak,G1999:409
algarrobo blanco,fʷaʔajekʷ,Ne2014:161,"fʷaʔajuk,fʷajuk,waʔajuk",G1979:56,ɸaɁajuk,C&G2007:6,,
algarrobo blanco,,,fʷaʔajuk,G1983:128,,,,
anciana,atsinha wemtʃʼax,Ne2014:378,kixilak/kixilek,G1983:226,kʼutsxaʔ,Gu2015:298,kʼutsheʔ,G1999:547
anciana,atsiinhakjutsʼax,Cl2008:18,,,,,,
anciano,hiʼnoowumek,Cl2008:149,kixiil (V1),G1983:34,kʼutsaʔx,Gu2015:298,kʼutsaχ,G1999:547
anciano,,,kixil (V2),G1983:34,,,,
andar rápido,nuɁ,N1984:12,nuɁ,N1984:12,nuɁ,N1984:12,nek,G1999:411
árbol,ha’lo,Ne2014:66,alak,G1983:184,aɁkxijuk,S2016,naxkak,G1999:414
árbol,,,alaɁa,G1979:57,,,,
árboles,ha’loj,Ne2014:112,alaʔaj (V1) alaj (V2),G1983:57,aɁkxikuj,S2016,,
ayer,fʷalanajhi ,N1984:151,"nooxtiɁ, nooteɁ",G1983:185,kanɁut,Gu2015:109,neɬu,G1999:417
azul,,,"laxsani, laxsasiɁ",G1979:58,jaka,Gu2015:162,leekʼe,G1999:417
azul,,,laxsa,G1983:185,,,,
barro,Ɂijot,Ne2014:48,"isat,kisat",G1979:58,tʼɑʔɬʃi,Gu2015:66,,
beber,-jojex,Ne2014:241,ajaxeɁ,G1979:59,-jôɁ,Gu2015:65,-ijaɁ,G1999:421
beber,,,-je,G1983:186,,,,
blanco,pelaχ,Ne2014:67,"lemiɁ, ɬemiɁ",G1983:186,k͡lim,Gu2015:65,foɁ,G1999:421
brazo,-tkʷej,Ne2014:212,-kjoɁ,C2014b:377,-tuɁk,S2016,-koj,G1999:411
caballo,ʼjelatax,Ne2014:191,alenta,G1983:187,kuwaju,Gu2015:172,tiptip,G1999:425
cabeza,ɬetek,Ne2014:201,"-xetik, -xetek, -etik -etek",G1983:187,-ʃatetʃ,Gu2015:64,-xiɬa,G1999:425
cara,-teɬu,Ne2014:461,-tokjoɁ,G1983:188,-tako,Gu2015:99,-xus,G1999:428
cielo,puuleɁ,Cl2008:296,"puleɁ,puliɁ, poleɁ, poliɁ",G1983:189,wɑɁs,Gu2015:137,was,G1999:423
codo,-qatoɁ,Cl1994:11,"-katokiɁ (V2A), katoɁ (V2P)",G1983:190,-fkatoɁ,S2016,-nokiɁ,G1999:433
cola (de animal),-tʃos,Ne2014:154,"-kjes, -kes, -kjexs",G1983:190,kɑɁs,S2016,ɬahatsxiɁ,G1999:433
cuello,-ʼwu,Ne2014:48,"-ʼwoʼ , -woɁo",D2009:128,-woɁ,S2016,-wonxeɁ,G1999:438
cuello,,,-woɁo,G1979:63,,,,
cuello,,,"-oloɁ (V2A), sapaɁ(V2P)",G1983:193,,,,
cuerpo,-saan,Cl1994:27,-fʷes,G1983:192,"-sxaɁn, -wuɁwat",S2016,,
cuerpo,,,tʼajwes,D2009:154,,,,
cuñada,ʼnooqatʼoxw,Cl2008:87,"-kajtox, kaxtex",G1983:192,-kawtʼox,Gu2015:72,,
cuñado,ʼnoɬaakjixwah,Cl2008:72,-katjok,G1983:192,-kaɁtxok,Gu2015:72,qʼotjok,
dedo de la mano,ʼnooxwuxw,Cl2008:62,jesikiɁ,G1983:194,-pastʃe,Gu2015:69,,
diente,ʼnoopihnhajh ,Cl2008:80,inkinteɁ,G1979:65,-tsewte,S2016,,
disparar,tijoχ,Ne2014:66,,,tijɑɁχ,Gu2015:249,tijaχ,G1999:447
dolor,-Ɂojtaχ,Ne2014:425,-atixiɁ,G1983:195,-aɁɑwte,S2016,-aatsʼeɁ,G1999:447
dormir,-mo,Ne2014:130,-maɁa,G1983:195,-mɑʔ,Gu2015:111,-maɁ,G1999:448
duro,tʼen,Ne2014:345,tuskiɁ,G1983:186,tʼun,Gu2015:65,tʼun,G1999:464
él,ɬam,Ne2014:335,"ɬaɁam, lam",G1983:196,ɬawaʔtʃa,S2016,hakhaan,G1999:449
ella,ɬam,Ne2014:335,"ɬaɁam, lam",G1983:196,ɬawaʔtʃa,S2016,kikheen,G1999:449
escuchar,,,"-peɁjeɁ, pejiɁ, pejsiɁ",G1983:197,-peɁj,Gu2015:67,epijeɁ,G1999:71
espalda,-wu,Ne2014:47,"-kjeji, -keji, -kjaji",G1983:197,-tʼɑjij,S2016,anu,G1999:454
"espina de árbol,de pescado",ɬe,Ne2014:170,"ɬeɬiʔ, ɬejɬiʔ",G1979:66,ɬeʔ,S2016,"tiɁ,ɬiɁ",G1999:455
"espina de árbol,de pescado",,,-eʔe,C2014:140,,,,
esposa,tʃʼefʷa,Ne2014:171,"-ilfʷaʔ , -ilwaʔ",G1983:207,xaja,S2016,ewhejeʔ,G1999:455
esposo,tʃʼefʷa,Ne2014:171,"-ilfʷaʔ , -ilwaʔ",G1983:207,xaja,S2016,ewhejeʔ,G1999:455
estrella,qates,Ne2014:47,kates,G1979:67,katiʔs,S2016,footekiʔ,G1999:458
estar,ihi,Ne2014:171,"-aj, -ej, -i,-wa",G1983:67,-eɁ,S2016,"-n, -un, -w, -uw",G1999:456
flecha,lutek,Ne2014:155,"alaʔa, loxsje",G1979:68,pʼok,S2016,"-akxuʔ,fʼok",G1999:462
flor,ɬawu,Ne2014:47,ɬokje,G1979:69,ɬawɑ,S2016,lhʼopʼom,G1999:462
flor,,,"lawo, ɬawu",G1983:198,,,,
fruta/fruto,ɬaɁ,Ne2014:65,ɬaʔa,G1979:69,"ɬaɁ , kaɁ",Gu2015:125,ɬeʔ,G1999:464
fruta/fruto,,,"laʔ, ɬaʔ ",G1983:199,,,,
fruto algarrobo blanco,hwaʔaʔ,N1984:12,hwaʔaʔ,N1984:12,faʔa,N1984:12,,
fruto algarrobo blanco,fʷaʔaj,Ne2014:50,fʷaaʔ,G1979:27,fa̰j faʔa̰j,Gu2015:77,,
fuego,itoχ,Ne2014:154,fʷat,G1979:28,ʔitoχ,Gu2015:163,fet,G1999:464
gallina,huʔu,Ne2014:47,afʷenta,G1979:68,wotɑxɑx,S2016,taʔaʔaʔ,G1999:465
gallina,,,wotaxa,G1983:199,,,,
gato,mitsi,Ne2014:122,tinuk,G1979:68,tanuk,Gu2015:196,tenuk,G1999:466
grasa,-peʔ,Cl2008:216,-peʔe,G1979:69,-peʔ,Gu2015,ɬuxeʔ,C1999:466
gusano,-woʔ,Ne2014:47,-awoʔ,G1979:69,-woʔ,Gu2015:77,qʼojqʼoqʼoj,G1999:467
gusano,,,-woʔ,G1983:200,,,,
hacha,husan,Ne2014:5,alaa,G1979:69,namatʃ,Gu2015:281,fexinetkiʔ,G1999:470
hacha,,,alaj,G1983:200,,,,
hermana,,,taʔa,G1983:59,,,,
hermana mayor,-tʃita,Ne2014:194,-kitjaʔ,G1979:69,-tʃitaʔ,Gu2015:270,-kutiʔ,G1999:471
hermana mayor,,,"kjaaxuʔ (V2A), taax, taʔa (V2P)",G1983:201,,,,
hermana menor,-tʃinho,Ne2014:194,"kixnjeʔ (V2A), jixnikiʔ, jinkiʔ(V2P)",G1983:201,"-sunxa, -tʃinxɑ",Gu2015:64,kʼinχaʔ,G1999:471
hermanas,,,"inkitjawot, tawot",PP2005,,,,
hermano,,,"isilia,isiljaʔ",PP2005,,,,
hermano mayor,-tʃila,Ne2014:467,inkiljaʔ,G1979:70,-tʃik͡laʔ,S2016,-mats,G1999:471
hermano mayor,,,kiljeʔ,G1983:201,,,,
hermano menor,-tʃinix,Ne2014:194,-kini,G1979:70,"-onax, -tʃiniʃ",S2016,-kʼinix,G1999:471
hermano menor,,,jini,G1983:201,,,,
hija,-ose,Ne2014:166,-axseʔ,G1983:201,-ɑse,Gu2015:38,-asiʔ,G1999:472
hija adoptiva,,,,,,,-asiix,G1999:472
hijo,-ɬos,Ne2014:166,-as,G1983:201,-ɑʔs,Gu2015:638,-as,G1999:472
hijo adoptivo,,,,,,,-asix,G1999:472
hilo/soga,nijɑkʷ,Ne2014:48,-ɬek,G1979:70,nijɑk,Gu2015:53,nijak,G1999:438
hilos/sogas,,,"-ɬeej (V1),-ɬej",G1983:57,,,niihaj,G1994:74
hombre,hiʼnu,Ne2014:467,ajinje,G1979:70,niwak͡le,Gu2015:2,xukhew,G1999:472
hombre,,,"ajinje, ajixnje, ajini, ona (V2P)",G1983:202,,,,
hombro,-whapu,Ne2014:249,"-newe (V1), -lewe (V2)",G1983:61,-fatas,S2016,-ewkʼejej,G1999:473
"hoy, ahora",,,nakaji,D2009:140,naɬu,Gu2015:69,haneɁex,G1999:407
iguana,ʔaɬe,Ne2014:51,ʔaɬu,"G1979:70, G1983:203",ʔaɬu,Gu2015:68,ahatsxinaχ,G1999:475
juego de palitos,,,sjukjeʔ,G1979:71,tsukɑk,S2016,tsukaʔ,G1999:359
jugo,tʼi,Ne2014:311,t’eʔe,G1979:71,tʼiʔ,Gu2015:23,ɬʼiʔ,G1999:479
,ʼnotʼiiʔ,Cl2008:97,,,,,,
lamer,napʼuʔ,Cl2008:257,anaputsiʔ,G1979:72,napʼu,Gu2015:23,-lepin,G1999:481
langosta,kjooɬ,Cl2008:193,kioʔol,G1979:72,fanxa,Gu2015:268,kʼis,G1999:482
,tʃuɬ,Ne2014:51,,,,,,
leche,-tsʼoos,Cl2008:470,inkatjos,G1979:72,-tsʼoʔs,Gu2015:124,ɬeqeɬʼiʔ,G1999:482
lengua,,,impaxnat,G1979:72,-tʃʼak͡letʃ,S2016,lepep,G1999:483
llevar,-tʃox,Ne2014:170,"-aasiʔ, -toon",G1979:73,-tʃaʔx,Gu2015:44,-ekaχ,G1999:487
lluvia,iwumtʃoʔ,Ne2014:152,peɬa,G1979:73,tʃaʔnu,S2016,piɬej,G1999:487
luciérnaga,,,"fʷetina, temak, temik",G1979:72,,,xumqʼets,G1999:485
luna,we’la,Ne2014:48,weʔla,G1979:73,xiwek͡la,Gu2015:32,xuwel,G1999:485
luz,nookjak,Cl2008:63,kates,,katiʔs,S2016,,
madre,-qu,Ne2014:55,inet,G1979:73,mimi,Gu2015:39,nene,G1999:489
maíz,siputka,Ne2014:212,ipjatax,G1979:73,nik͡lɑʔtsʼitʃ,Gu2015:65,naatsʼaxik,G1999:489
mandioca,amuqu,Ne2014:25,niwakiwaʔ,G1979:73,nuksitʃ,S2016,tsipuʔ,G1999:490
mano,-tkʷej,Ne2014:212,-kjoʔo,G1979:73,-pɑʔkɑt,Gu2015:72,-koj,G1999:411
matar,-lon,Ne2014:207,alaʔan,G1979:74,-k͡lɑn,Gu2015:229,-lan,G1999:491
mirar/ver,-w’en,Ne2014:172,"ween (V1), wen (V2)",G1983:34,-ʔwan,S2016,-wen,G1999:546
monte,tajhi,Ne2014:153,"ɬaan, laan",G1979:74,jitaʔ,Gu2015:46,ɬeneʔ,G1999:494
monte,ho’na’l,Cl2008:63,"ɬimnaʔ, limnaʔ, linaʔ, ɬinaʔ, alsa",G1983:208,,,,
mosquito,,,malewiʔ,G1979:75,jijaʔ,S2016,ijeʔ,G1999:495
mosquito,,,"ejeʔ, maleweʔ (V2A), fʷajoj",G1983:209,,,,
nariz,-nes,Ne2014:48,"xnatowu, xnatawo, xnatawe",G1983:210,-naʔʃ,Gu2015:62,-enex,G1999:497
negro,tʃalaχ,Ne2014:93,"tula, tjula",G1983:210,jakut,S2016,noʔ,G1999:497
nido,ɬup,Cl2008:10,"ɬup, ɬop",G1983:210,ɬuʔp,Gu2015:68,ɬup,G1999:497
