espanol,chorote,fuente_chorote,audio_chorote,maka,fuente_maka,audio_maka,nivacle,fuente_nivacle,audio_nivacle,wichi,fuente_wichi,audio_wichi
agua,inʲɑt,"Gerzenstein, 1968",CRT001R031I001_agua,,,,jinɑ̰t,"Gutiérrez, 2012",20120315FR041_agua,,,
aire,laɁxaut,"Pacor, 2005",01A_aire,,,,βatajaɬ,"Gutiérrez, 2012",20120514FR169_aire,,,
algarrobo,hʷaɁajuk,"Gerzenstein, 1968",CRT001R007I001_algarrobo,,,,fa̰juk,"Gutiérrez, 2011",20110718JR072_algarrobo,,,
brazalete,inkʲotak,"Pacor, 2005",03B_brazalete,,,,,,,,,
camino,nɑji,"Gerzenstein, 1968",CRT001R031I001_camino,,,,nɑjiʃ,"Gutiérrez, 2017",20170506FR088_camino,,,
cara,intokʲoɁ,"Pacor, 2005",07B_cara,,,,,,,,,
cielo,poliɁ,"Pacor, 2005",01A_cielo,wats,"Gerzenstein, 1985",MCA001R024I001_cielo,wɑ̰s,"Gutiérrez, 2010",2010_08_21_FR_AG_052_cielo,,,
codo,inkaɁtokiɁ,"Pacor, 2005",07B_codo,,,,,,,,,
cotorra,kʼikʼi,"Gerzenstein, 1968",CRT001R032I001_cotorra,,,,t͡ʃ'et͡ʃ'e,"Gutiérrez, 2019",20190723TeS002_cotorra,,,
cuello,inwoɁ,"Pacor, 2005",07B_cuello,,,,,,,,,
cuero,,,,ɬɁax,"Gerzenstein, 1985",MCA001R024I001_cuero,tʼɑχ,"Gutiérrez, 2017",20170404FR120_cuero,,,
diente,inkinteɁ,"Pacor, 2005",07B_diente,,,,,,,,,
escucho,,,,eɁpiyeɁ,"Gerzenstein, 1984",MCA001R015I001_yoescucho,xapeʔja,"Gutiérrez, 2017",20170407FR019_escucho,,,
espina de árbol,jitiɁen,"Gerzenstein, 1968",CRT001R007I001_unaespinadearbol,ɬiɁ,"Gerzenstein, 1985",MCA001R024I001_espinadearbol,,,,,,
flor,ɬokʲe,"Bucca, 1969",ch_xlokje,ɬopʼom,"Gerzenstein, 1985",ma_lh_op_om,ɬawa,"Bucca, 1969",ni_lhavo,ɬawoʔ,"Bucca, 1969",wi_lhaawo
fruta,ɬaʔa,"Bucca, 1969",ch_lha_a,ɬeɁ,"Gerzenstein, 1985",MCA001R024I001_fruta,ɬaj,"Bucca, 1969",ni_lhai,ɬaj,"Bucca, 1969",wi_lhai
gusano,awoɁo,"Gerzenstein, 1968",CRT001R032I001_gusano,,,,ɬawoʔ,"Gutiérrez, 2011",20110718JR107_gusano,,,
hacha,alaɁ,"Pacor, 2005",03B_hacha,,,,,,,,,
hermana,isitʲaɁ,"Pacor, 2005",07A_hermana,,,,,,,,,
hermana mayor,,,,,,,-tʃitaʔ,"Gutiérrez, 2010",20100817FR067_hermanamayor,,,
hermano menor,,,,,,,jit͡ʃ'iniʃ,"Gutiérrez, 2010",20100817MV068_mihermanomenor,,,
hombre,inʲoɁ,"Pacor, 2005",07B_hombre,,,,,,,,,
iguana,ahluɁ,"Gerzenstein, 1968",CRT001R032I001_iguana,,,,aɬu,"Gutiérrez, 2012",20120504GR037_iguana,,,
la sangre,wojis,"Gerzenstein, 1968",CRT001R031I001_lasangre,,,,,,,,,
la tarde,noɁot,"Gerzenstein, 1968",CRT001R031I001_latarde,,,,,,,,,
langosta,kʲoɁol,"Gerzenstein, 1968",CRT001R007I001_langosta,,,,fanxa,"Gutiérrez, 2012",20120313FR140_langosta,,,
loro,eleɁ,"Gerzenstein, 1968",CRT001R032I001_loro,eheɁ,"Gerzenstein, 1985",MCA001R024I001_loro,ek͡le,"Gutiérrez, 2010",2010_08_14_SR_AG_020_loro,,,
luna,weɁla,"Pacor, 2005",01A_luna,xuwel,"Gerzenstein, 1985",MCA001R024I001_luna,xiβeʔk͡la,"Gutiérrez, 2012",2010_08_24_FR_AG_211_luna,,,
mano,inkʲoɁo,"Pacor, 2005",07B_mano,,,,,,,,,
mariposa,wosak,"Gerzenstein, 1968",CRT001R032I001_mariposa,,,,βosok,"Gutiérrez, 2012",20120505FR033_mariposa,,,
mi cara,itʲokʲoɁ,"Gerzenstein, 1968",CRT001R031I001_micara,,,,,,,,,
mi corazón,,,,jiɬitiɁ,"Gerzenstein, 1985",MCA001R024I001_micorazon,jiɬḭβte,"Gutiérrez, 2010",20100704FR048_micorazon,,,
mi costilla,,,,jiweɬiɁ,"Gerzenstein, 1985",MCA001R024I001_micostilla,jiβɬiʔ,"Gutiérrez, 2011",20110711FR203_micostilla,,,
mi cuello,tijoɁ,"Gerzenstein, 1968",CRT001R007I002_micuello,,,,,,,,,
mi hermana menor,,,,inχa,"Gerzenstein, 1985",MCA001R024I001_mihermanamenor,jit͡ʃ'inxɑ,"Gutiérrez, 2011",20110708ER071_mihermanamenor,,,
mi hermano menor,,,,k'iniχ,"Gerzenstein, 1985",MCA001R024I001_mihermanomenor,,,,,,
mi hija,jase,"Bucca, 1969",ch_jaxse,,,,jɑse,"Gutiérrez, 2019",20190723TeS025_mihija,,,
mi mano,,,,,,,jipɑʔkɑt,"Gutiérrez, 2019",20190720FR056_mi_mano,,,
mi nieta,,,,jukiɁ,"Gerzenstein, 1985",MCA001R024I001_minieta,,,,,,
mi ojo,itiɁeteɁ,"Gerzenstein, 1968",CRT001R007I002_miojo,jitoɁ,"Gerzenstein, 1985",MCA001R024I001_miojo,jitɑseχ,"Gutiérrez, 2010",20100704FR059_miojo,,,
mi oreja,itsʲoteɁ,"Gerzenstein, 1968",CRT001R031I001_mioreja,jikfiɁ,"Gerzenstein, 1985",MCA001R024I001_mioreja,jikfeʔ,"Gutiérrez, 2010",20100704FR045_mioreja,,,
mi panza,,,,,,,jikaʔwot,"Gutiérrez, 2017",20170404FR156_mi_panza,,,
mi pecho,jot,"Gerzenstein, 1968",CRT001R031I001_mipecho,,,,,,,,,
mi pelo,ijoleɁ,"Gerzenstein, 1968",CRT001R031I001_mipelo,,,,,,,,,
mi pie,,,,jifɁi,"Gerzenstein, 1985",MCA001R024I001_mipie,jifoʔ,"Gutiérrez, 2010",20100817MV011_mi_pie,,,
mi piel,jax,"Gerzenstein, 1968",CRT001R031I001_mipiel,,,,,,,,,
mi sobrina,,,,,,,jifakt͡ʃeʔe,"Gutiérrez, 2012",20120308_FR_AG_069_misobrina,,,
mi sobrina mujer,,,,pek'i ,"Gerzenstein, 1985",MCA001R024I001_misobrinamujer,,,,,,
mi sobrino,,,,,,,jifak͡lʔa,"Gutiérrez, 2012",20120308_FR_AG_070_misobrino,,,
mi sobrino varón,,,,jilpik ,"Gerzenstein, 1985",MCA001R024I001_misobrinovaron,,,,,,
mi talón,ipʲokʲoɁ,"Gerzenstein, 1968",CRT001R031I001_mitalon,joqoq'o,"Gerzenstein, 1985",MCA001R024I001_mitalon,,,,,,
mi tía,,,,,,,jit'oχ,"Gutiérrez, 2012",20120316FR091_mitia,,,
monte,laɁan,"Gerzenstein, 1968",CRT001R007I001_monte,,,,,,,,,
